8.28.16.254 - - [25/Jul/2012:22:00:33 +0000] "GET / HTTP/1.1" 200 8381 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; InfoPath.1; .NET CLR 2.0.50727; .NET CLR 1.1.4322; MS-RTC LM 8; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729)"
69.58.178.58 - - [27/Jul/2012:07:42:29 +0000] "GET /robots.txt HTTP/1.1" 404 476 "-" "Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.9.1.3; ips-agent) Gecko/20090824 Fedora/1.0.7-1.1.fc4  Firefox/3.5.3"
69.58.178.58 - - [27/Jul/2012:07:42:30 +0000] "GET / HTTP/1.1" 200 8298 "-" "Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.9.1.3; ips-agent) Gecko/20090824 Fedora/1.0.7-1.1.fc4  Firefox/3.5.3"
157.56.94.177 - - [27/Jul/2012:09:20:49 +0000] "GET /robots.txt HTTP/1.1" 404 467 "-" "msnbot/2.0b (+http://search.msn.com/msnbot.htm)"
157.56.94.177 - - [27/Jul/2012:09:20:50 +0000] "GET / HTTP/1.1" 200 2016 "-" "msnbot/2.0b (+http://search.msn.com/msnbot.htm)"
157.56.94.177 - - [27/Jul/2012:12:52:30 +0000] "GET / HTTP/1.1" 200 2016 "-" "msnbot/2.0b (+http://search.msn.com/msnbot.htm)"
66.249.66.185 - - [27/Jul/2012:15:42:25 +0000] "GET /robots.txt HTTP/1.1" 404 505 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.66.185 - - [27/Jul/2012:15:42:25 +0000] "GET / HTTP/1.1" 200 2053 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
206.183.1.74 - - [27/Jul/2012:21:15:13 +0000] "GET /robots.txt HTTP/1.1" 404 507 "-" "Mozilla/4.0 (compatible; http://search.thunderstone.com/texis/websearch/about.html)"
206.183.1.74 - - [27/Jul/2012:21:15:13 +0000] "GET / HTTP/1.1" 200 2053 "-" "Mozilla/4.0 (compatible; http://search.thunderstone.com/texis/websearch/about.html)"
38.99.82.191 - - [27/Jul/2012:22:31:13 +0000] "GET /robots.txt HTTP/1.0" 404 467 "-" "Mozilla/4.0 (compatible; MSIE 7.0b; Windows NT 6.0)"
38.99.82.191 - - [27/Jul/2012:22:31:13 +0000] "GET / HTTP/1.0" 200 2016 "-" "Mozilla/4.0 (compatible; MSIE 7.0b; Windows NT 6.0)"
66.249.66.13 - - [28/Jul/2012:03:02:46 +0000] "GET /robots.txt HTTP/1.1" 404 507 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.66.13 - - [28/Jul/2012:03:02:46 +0000] "GET / HTTP/1.1" 200 2053 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
157.56.94.177 - - [28/Jul/2012:09:19:15 +0000] "GET /robots.txt HTTP/1.1" 404 467 "-" "msnbot/2.0b (+http://search.msn.com/msnbot.htm)"
157.56.94.177 - - [28/Jul/2012:09:19:16 +0000] "GET / HTTP/1.1" 200 2016 "-" "msnbot/2.0b (+http://search.msn.com/msnbot.htm)"
79.75.90.24 - - [28/Jul/2012:14:59:56 +0000] "GET / HTTP/1.1" 200 2054 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8) AppleWebKit/536.25 (KHTML, like Gecko)"
79.75.90.24 - - [28/Jul/2012:14:59:57 +0000] "GET /favicon.ico HTTP/1.1" 404 505 "http://ashkandari.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8) AppleWebKit/536.25 (KHTML, like Gecko)"
79.75.90.24 - - [28/Jul/2012:14:59:59 +0000] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 518 "-" "Coda/2.0.1 CFNetwork/596.0.1 Darwin/12.0.0 (x86_64) (MacBookPro8%2C1)"
79.75.90.24 - - [28/Jul/2012:14:59:59 +0000] "GET /apple-touch-icon.png HTTP/1.1" 404 511 "-" "Coda/2.0.1 CFNetwork/596.0.1 Darwin/12.0.0 (x86_64) (MacBookPro8%2C1)"
80.40.134.120 - - [28/Jul/2012:16:05:13 +0000] "GET / HTTP/1.0" 200 8276 "http://ashkandari.com/" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; .NET CLR 2.0.50727; .NET CLR 3.0.04506.648; .NET CLR 3.5.21022; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; InfoPath.2)"
79.75.90.24 - - [28/Jul/2012:16:09:49 +0000] "GET / HTTP/1.1" 500 470 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
79.75.90.24 - - [28/Jul/2012:16:09:51 +0000] "GET / HTTP/1.1" 500 412 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
79.75.90.24 - - [28/Jul/2012:16:09:51 +0000] "GET /favicon.ico HTTP/1.1" 404 505 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
79.75.90.24 - - [28/Jul/2012:16:13:21 +0000] "GET / HTTP/1.1" 500 412 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
79.75.90.24 - - [28/Jul/2012:16:14:43 +0000] "GET / HTTP/1.1" 500 412 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
79.75.90.24 - - [28/Jul/2012:16:14:44 +0000] "GET /favicon.ico HTTP/1.1" 404 505 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
79.75.90.24 - - [28/Jul/2012:16:21:32 +0000] "GET / HTTP/1.1" 500 412 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
79.75.90.24 - - [28/Jul/2012:16:21:33 +0000] "GET /favicon.ico HTTP/1.1" 404 505 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
79.75.90.24 - - [28/Jul/2012:16:24:08 +0000] "GET / HTTP/1.1" 500 412 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
79.75.90.24 - - [28/Jul/2012:16:25:37 +0000] "GET / HTTP/1.1" 500 965 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
79.75.90.24 - - [28/Jul/2012:16:25:38 +0000] "GET /media/css/screen.css HTTP/1.1" 200 2611 "http://ashkandari.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
79.75.90.24 - - [28/Jul/2012:16:25:39 +0000] "GET /media/css/reset.css HTTP/1.1" 200 952 "http://ashkandari.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
79.75.90.24 - - [28/Jul/2012:16:25:39 +0000] "GET /media/css/print.css HTTP/1.1" 200 354 "http://ashkandari.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
79.75.90.24 - - [28/Jul/2012:16:25:39 +0000] "GET /media/images/theme/body.png HTTP/1.1" 200 985 "http://ashkandari.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
79.75.90.24 - - [28/Jul/2012:16:25:39 +0000] "GET /media/images/theme/wrapper-bottom.jpg HTTP/1.1" 200 346008 "http://ashkandari.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
79.75.90.24 - - [28/Jul/2012:16:25:39 +0000] "GET /media/images/theme/wrapper-top.jpg HTTP/1.1" 200 440657 "http://ashkandari.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
79.75.90.24 - - [28/Jul/2012:16:25:40 +0000] "GET /media/images/favicon.ico HTTP/1.1" 404 512 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
79.75.90.24 - - [28/Jul/2012:16:27:02 +0000] "GET / HTTP/1.1" 500 965 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
79.75.90.24 - - [28/Jul/2012:16:27:03 +0000] "GET /media/css/screen.css HTTP/1.1" 304 212 "http://ashkandari.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
79.75.90.24 - - [28/Jul/2012:16:27:03 +0000] "GET /media/css/reset.css HTTP/1.1" 304 210 "http://ashkandari.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
79.75.90.24 - - [28/Jul/2012:16:27:03 +0000] "GET /media/css/print.css HTTP/1.1" 304 208 "http://ashkandari.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
79.75.90.24 - - [28/Jul/2012:16:27:03 +0000] "GET /media/images/theme/body.png HTTP/1.1" 304 187 "http://ashkandari.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
79.75.90.24 - - [28/Jul/2012:16:27:03 +0000] "GET /media/images/theme/wrapper-bottom.jpg HTTP/1.1" 304 190 "http://ashkandari.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
79.75.90.24 - - [28/Jul/2012:16:27:03 +0000] "GET /media/images/theme/wrapper-top.jpg HTTP/1.1" 304 190 "http://ashkandari.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
79.75.90.24 - - [28/Jul/2012:16:27:03 +0000] "GET /media/images/favicon.ico HTTP/1.1" 404 512 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
79.75.90.24 - - [28/Jul/2012:16:27:04 +0000] "GET / HTTP/1.1" 500 965 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
79.75.90.24 - - [28/Jul/2012:16:27:05 +0000] "GET /media/css/screen.css HTTP/1.1" 304 211 "http://ashkandari.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
79.75.90.24 - - [28/Jul/2012:16:27:05 +0000] "GET /media/css/reset.css HTTP/1.1" 304 210 "http://ashkandari.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
79.75.90.24 - - [28/Jul/2012:16:27:05 +0000] "GET /media/css/print.css HTTP/1.1" 304 208 "http://ashkandari.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
79.75.90.24 - - [28/Jul/2012:16:27:05 +0000] "GET /media/images/theme/body.png HTTP/1.1" 304 187 "http://ashkandari.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
79.75.90.24 - - [28/Jul/2012:16:27:05 +0000] "GET /media/images/theme/wrapper-top.jpg HTTP/1.1" 304 190 "http://ashkandari.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
79.75.90.24 - - [28/Jul/2012:16:27:05 +0000] "GET /media/images/theme/wrapper-bottom.jpg HTTP/1.1" 304 190 "http://ashkandari.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
79.75.90.24 - - [28/Jul/2012:16:27:05 +0000] "GET /media/images/favicon.ico HTTP/1.1" 404 512 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
79.75.90.24 - - [28/Jul/2012:16:31:52 +0000] "GET / HTTP/1.1" 500 965 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
79.75.90.24 - - [28/Jul/2012:16:31:53 +0000] "GET /media/css/screen.css HTTP/1.1" 304 212 "http://ashkandari.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
79.75.90.24 - - [28/Jul/2012:16:31:53 +0000] "GET /media/css/reset.css HTTP/1.1" 304 210 "http://ashkandari.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
79.75.90.24 - - [28/Jul/2012:16:31:53 +0000] "GET /media/css/print.css HTTP/1.1" 304 208 "http://ashkandari.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
79.75.90.24 - - [28/Jul/2012:16:31:53 +0000] "GET /media/images/theme/body.png HTTP/1.1" 304 188 "http://ashkandari.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
79.75.90.24 - - [28/Jul/2012:16:31:53 +0000] "GET /media/images/theme/wrapper-top.jpg HTTP/1.1" 304 190 "http://ashkandari.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
79.75.90.24 - - [28/Jul/2012:16:31:53 +0000] "GET /media/images/theme/wrapper-bottom.jpg HTTP/1.1" 304 190 "http://ashkandari.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
79.75.90.24 - - [28/Jul/2012:16:31:53 +0000] "GET /media/images/favicon.ico HTTP/1.1" 404 512 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
79.75.90.24 - - [28/Jul/2012:16:37:43 +0000] "GET / HTTP/1.1" 500 412 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
79.75.90.24 - - [28/Jul/2012:16:37:43 +0000] "GET /favicon.ico HTTP/1.1" 404 505 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
79.75.90.24 - - [28/Jul/2012:16:38:31 +0000] "GET / HTTP/1.1" 500 965 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
79.75.90.24 - - [28/Jul/2012:16:38:31 +0000] "GET /media/css/screen.css HTTP/1.1" 304 212 "http://ashkandari.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
79.75.90.24 - - [28/Jul/2012:16:38:31 +0000] "GET /media/css/reset.css HTTP/1.1" 304 210 "http://ashkandari.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
79.75.90.24 - - [28/Jul/2012:16:38:31 +0000] "GET /media/css/print.css HTTP/1.1" 304 208 "http://ashkandari.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
79.75.90.24 - - [28/Jul/2012:16:38:31 +0000] "GET /media/images/theme/body.png HTTP/1.1" 304 188 "http://ashkandari.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
79.75.90.24 - - [28/Jul/2012:16:38:31 +0000] "GET /media/images/theme/wrapper-top.jpg HTTP/1.1" 304 190 "http://ashkandari.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
79.75.90.24 - - [28/Jul/2012:16:38:31 +0000] "GET /media/images/theme/wrapper-bottom.jpg HTTP/1.1" 304 190 "http://ashkandari.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
79.75.90.24 - - [28/Jul/2012:16:38:32 +0000] "GET /media/images/favicon.ico HTTP/1.1" 404 512 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
79.75.90.24 - - [28/Jul/2012:16:43:24 +0000] "GET / HTTP/1.1" 200 2015 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
79.75.90.24 - - [28/Jul/2012:16:43:25 +0000] "GET /media/css/screen.css HTTP/1.1" 304 211 "http://ashkandari.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
79.75.90.24 - - [28/Jul/2012:16:43:25 +0000] "GET /media/css/reset.css HTTP/1.1" 304 210 "http://ashkandari.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
79.75.90.24 - - [28/Jul/2012:16:43:25 +0000] "GET /media/css/print.css HTTP/1.1" 304 208 "http://ashkandari.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
79.75.90.24 - - [28/Jul/2012:16:43:25 +0000] "GET /media/images/theme/body.png HTTP/1.1" 304 188 "http://ashkandari.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
79.75.90.24 - - [28/Jul/2012:16:43:25 +0000] "GET /media/images/theme/wrapper-top.jpg HTTP/1.1" 304 190 "http://ashkandari.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
79.75.90.24 - - [28/Jul/2012:16:43:25 +0000] "GET /media/images/theme/wrapper-bottom.jpg HTTP/1.1" 304 190 "http://ashkandari.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
79.75.90.24 - - [28/Jul/2012:16:43:25 +0000] "GET /media/images/theme/uguilds.gif HTTP/1.1" 200 4680 "http://ashkandari.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
79.75.90.24 - - [28/Jul/2012:16:43:25 +0000] "GET /media/images/favicon.ico HTTP/1.1" 404 512 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
79.75.90.24 - - [28/Jul/2012:16:47:37 +0000] "GET / HTTP/1.1" 200 1953 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
79.75.90.24 - - [28/Jul/2012:16:47:37 +0000] "GET /media/css/screen.css HTTP/1.1" 200 2525 "http://ashkandari.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
79.75.90.24 - - [28/Jul/2012:16:47:37 +0000] "GET /media/css/reset.css HTTP/1.1" 304 210 "http://ashkandari.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
79.75.90.24 - - [28/Jul/2012:16:47:37 +0000] "GET /media/css/print.css HTTP/1.1" 304 208 "http://ashkandari.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
79.75.90.24 - - [28/Jul/2012:16:47:37 +0000] "GET /media/images/theme/body.png HTTP/1.1" 304 188 "http://ashkandari.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
79.75.90.24 - - [28/Jul/2012:16:47:37 +0000] "GET /media/images/theme/wrapper-top.jpg HTTP/1.1" 304 189 "http://ashkandari.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
79.75.90.24 - - [28/Jul/2012:16:47:37 +0000] "GET /media/images/theme/wrapper-bottom.jpg HTTP/1.1" 304 190 "http://ashkandari.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
79.75.90.24 - - [28/Jul/2012:16:47:37 +0000] "GET /media/images/favicon.ico HTTP/1.1" 404 512 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
79.75.90.24 - - [28/Jul/2012:16:50:50 +0000] "GET / HTTP/1.1" 200 2011 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
